timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
1311687,-42.404815673828125,64.64868927001953,4.0,-14.0,-390.99517822265625,256.4639587402344,0,0,0,40000
1311697,-42.42229080200195,64.62399291992188,9.0,-32.0,-392.78607177734375,257.84130859375,0,0,0,40000
1311707,-42.429595947265625,64.5880126953125,-48.0,-100.0,-394.50830078125,259.1579895019531,0,0,0,40000
1311717,-42.356563568115234,64.4781494140625,-11.0,-213.0,-395.7850646972656,259.991943359375,0,0,0,40000
1311727,-42.177894592285156,64.3305435180664,15.0,-512.0,-396.8312683105469,260.18768310546875,0,0,0,40000
1311737,-41.59307098388672,63.95808029174805,8.0,-819.0,-396.5200500488281,257.9344177246094,0,0,0,40000
1311747,-40.96709060668945,63.5786247253418,81.0,-1389.0,-396.15545654296875,255.4154510498047,0,0,0,40000
1311757,-39.521141052246094,62.70547103881836,19.0,-1980.0,-392.80914306640625,247.94400024414062,0,0,0,40000
1311767,-38.21076583862305,61.88628005981445,22.0,-2693.0,-389.7607727050781,241.2441864013672,0,0,0,40000
1311777,-35.78036880493164,60.21479415893555,99.0,-3520.0,-381.5599365234375,227.76597595214844,0,0,0,40000
1311787,-33.91358184814453,58.76823806762695,138.0,-4426.0,-374.6614074707031,217.6053009033203,0,0,0,40000
1311797,-30.80024528503418,55.99976348876953,179.0,-5382.0,-359.76568603515625,199.88729858398438,0,0,0,40000
1311807,-28.634296417236328,53.727298736572266,247.0,-6346.0,-347.7703857421875,187.77676391601562,0,0,0,40000
1311817,-25.430362701416016,49.69636917114258,385.0,-7272.0,-325.1260986328125,169.3544921875,0,0,0,40000
1311827,-23.396820068359375,46.6083869934082,549.0,-7980.0,-308.033935546875,157.87940979003906,0,0,0,40000
1311837,-20.551780700683594,41.52531433105469,686.0,-8521.0,-278.8434753417969,141.45887756347656,0,0,0,40000
1311847,-18.815244674682617,37.90766525268555,879.0,-8825.0,-258.3183898925781,131.62466430664062,0,0,0,40000
1311857,-16.431163787841797,32.31566619873047,1156.0,-8784.0,-225.80316162109375,117.84100341796875,0,0,0,40000
1311867,-14.961601257324219,28.584054946899414,1495.0,-8564.0,-204.31573486328125,109.49008178710938,0,0,0,40000
1311877,-12.881180763244629,23.160991668701172,1822.0,-8130.0,-172.5365753173828,97.41868591308594,0,0,0,40000
1311887,-11.52936840057373,19.75708770751953,2072.0,-7471.0,-152.746337890625,89.66976928710938,0,0,0,40000
1311897,-9.526951789855957,15.151121139526367,2344.0,-6576.0,-125.61851501464844,77.9649658203125,0,0,0,40000
1311907,-8.174981117248535,12.485228538513184,2625.0,-5453.0,-110.0291748046875,70.11466979980469,0,0,0,40000
1311917,-6.132602691650391,9.250109672546387,2839.0,-4232.0,-90.93222045898438,58.06908416748047,0,0,0,40000
1311927,-4.751452445983887,7.645857810974121,2973.0,-2880.0,-81.55462646484375,49.941322326660156,0,0,0,40000
1311937,-2.62965989112854,6.169976711273193,3047.0,-1526.0,-72.89921569824219,37.3149299621582,0,0,0,40000
1311947,-1.2016619443893433,5.760146141052246,3053.0,-321.0,-70.61729431152344,28.800113677978516,0,0,0,40000
1311957,0.9110986590385437,5.869487762451172,3004.0,615.0,-71.446044921875,16.121414184570312,0,0,0,40000
1311967,2.2948648929595947,6.318265914916992,2923.0,1332.0,-74.32249450683594,7.766544342041016,0,0,0,40000
1311977,4.290537357330322,7.378937244415283,2785.0,1791.0,-80.8941650390625,-4.31254768371582,0,0,0,40000
1311987,5.557290554046631,8.246697425842285,2634.0,2041.0,-86.33760833740234,-12.064657211303711,0,0,0,40000
1311997,7.348354339599609,9.666156768798828,2431.0,2164.0,-95.12710571289062,-23.010398864746094,0,0,0,40000
1312007,8.463430404663086,10.628756523132324,2195.0,2133.0,-101.21003723144531,-29.941511154174805,0,0,0,40000
1312017,9.983510971069336,11.987950325012207,1930.0,2005.0,-109.7088623046875,-39.34382247924805,0,0,0,40000
1312027,10.891674041748047,12.797540664672852,1679.0,1719.0,-114.9407958984375,-45.10878372192383,0,0,0,40000
1312037,12.057404518127441,13.774016380310059,1402.0,1334.0,-121.20195007324219,-52.45153045654297,0,0,0,40000
1312047,12.685834884643555,14.230304718017578,1127.0,829.0,-124.36137390136719,-56.595314025878906,0,0,0,40000
1312057,13.411184310913086,14.542582511901855,805.0,230.0,-126.66886901855469,-61.341896057128906,0,0,0,40000
1312067,13.74632740020752,14.469741821289062,542.0,-465.0,-126.66712951660156,-63.76133346557617,0,0,0,40000
1312077,14.009261131286621,13.895081520080566,243.0,-1206.0,-123.64445495605469,-65.75675964355469,0,0,0,40000
1312087,14.032326698303223,13.16250991821289,-13.0,-2010.0,-119.65312957763672,-66.31599426269531,0,0,0,40000
1312097,13.85267448425293,11.562955856323242,-289.0,-2746.0,-110.42341613769531,-65.65648651123047,0,0,0,40000
1312107,13.594686508178711,10.205819129943848,-525.0,-3319.0,-102.60336303710938,-64.5196304321289,0,0,0,40000
1312117,13.012612342834473,7.8721232414245605,-897.0,-3679.0,-88.86613464355469,-61.42531204223633,0,0,0,40000
1312127,12.498662948608398,6.2166218757629395,-1050.0,-3790.0,-79.13955688476562,-58.72271728515625,0,0,0,40000
1312137,11.649925231933594,3.7158288955688477,-1259.0,-3706.0,-64.27606964111328,-53.99033737182617,0,0,0,40000
1312147,11.006067276000977,2.117860794067383,-1456.0,-3409.0,-54.77082824707031,-50.46520233154297,0,0,0,40000
