timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
891974,7268.0,39966.0,65535.0,39966.0,0,0,0,40000
891984,7430.0,39804.0,65535.0,39804.0,0,0,0,40000
891994,7587.0,39647.0,65535.0,39647.0,0,0,0,40000
892004,7689.0,39545.0,65535.0,39545.0,0,0,0,40000
892014,7687.0,39547.0,65535.0,39547.0,0,0,0,40000
892024,7943.0,39291.0,65535.0,39291.0,0,0,0,40000
892034,7690.0,39544.0,65535.0,39544.0,0,0,0,40000
892044,7645.0,39589.0,65535.0,39589.0,0,0,0,40000
892054,7528.0,39706.0,65535.0,39706.0,0,0,0,40000
892064,7243.0,39991.0,65535.0,39991.0,0,0,0,40000
892074,7031.0,40203.0,65535.0,40203.0,0,0,0,40000
892084,6667.0,40567.0,65535.0,40567.0,0,0,0,40000
892094,7417.0,39817.0,65535.0,42427.0,0,0,0,40000
892104,20384.0,26850.0,56460.0,56306.0,0,0,0,40000
892114,23357.0,23877.0,52149.0,60617.0,0,0,0,40000
892124,36373.0,10861.0,37177.0,65535.0,0,0,0,40000
892134,35270.0,11964.0,36646.0,65535.0,0,0,0,40000
892144,36514.0,13650.0,33584.0,65535.0,0,0,0,40000
892154,36705.0,14895.0,32339.0,65535.0,0,0,0,40000
892164,45073.0,23903.0,23331.0,65535.0,0,0,0,40000
892174,42358.0,22064.0,25170.0,65535.0,0,0,0,40000
892184,48974.0,27604.0,19630.0,63792.0,0,0,0,40000
892194,51721.0,29463.0,17771.0,61045.0,0,0,0,40000
892204,56015.0,33069.0,14165.0,56751.0,0,0,0,40000
892214,42759.0,43517.0,28749.0,44975.0,0,0,0,40000
892224,44980.0,52724.0,27936.0,34360.0,0,0,0,40000
892234,32802.0,63298.0,41364.0,22536.0,0,0,0,40000
892244,33605.0,65535.0,41431.0,13629.0,0,0,0,40000
892254,30990.0,65535.0,43170.0,16244.0,0,0,0,40000
892264,34640.0,65535.0,40218.0,12594.0,0,0,0,40000
892274,33568.0,65535.0,40988.0,13666.0,0,0,0,40000
